"id","name","data","created_at","updated_at"
"184","MACEDONIA","450","2015-03-14 00:00:00","2015-03-14 00:00:00"
"185","REPUBLICA CHECA","451","2015-03-14 00:00:00","2015-03-14 00:00:00"
"186","MONTENEGRO","452","2015-03-14 00:00:00","2015-03-14 00:00:00"
"187","SERBIA","453","2015-03-14 00:00:00","2015-03-14 00:00:00"
"188","KOSOVO","454","2015-03-14 00:00:00","2015-03-14 00:00:00"
"189","CHECHENIA","455","2015-03-14 00:00:00","2015-03-14 00:00:00"
"190","AUSTRALIA","501","2015-03-14 00:00:00","2015-03-14 00:00:00"
"191","NAURU","503","2015-03-14 00:00:00","2015-03-14 00:00:00"
"192","NUEVA ZELANDA","504","2015-03-14 00:00:00","2015-03-14 00:00:00"
"193","VANUATU","505","2015-03-14 00:00:00","2015-03-14 00:00:00"
"194","SAMOA OCCIDENTAL","506","2015-03-14 00:00:00","2015-03-14 00:00:00"
"195","FIJI","512","2015-03-14 00:00:00","2015-03-14 00:00:00"
"196","PAPUA NUEVA GUINEA","513","2015-03-14 00:00:00","2015-03-14 00:00:00"
"197","KIRIBATI","514","2015-03-14 00:00:00","2015-03-14 00:00:00"
"198","MICRONESIA ESTADOS FEDERADOS","515","2015-03-14 00:00:00","2015-03-14 00:00:00"
"199","PALAU","516","2015-03-14 00:00:00","2015-03-14 00:00:00"
"200","TUVALU","517","2015-03-14 00:00:00","2015-03-14 00:00:00"
"201","ISLAS SALOMON","518","2015-03-14 00:00:00","2015-03-14 00:00:00"
"202","TONGA","519","2015-03-14 00:00:00","2015-03-14 00:00:00"
"203","ISLAS MARSHALL","520","2015-03-14 00:00:00","2015-03-14 00:00:00"
"204","ISLAS MARIANAS","521","2015-03-14 00:00:00","2015-03-14 00:00:00"
"205","OCEANIA","599","2015-03-14 00:00:00","2015-03-14 00:00:00"
"206","INDETERMINADO","998","2015-03-14 00:00:00","2015-03-14 00:00:00"
"207","OTROS","999","2015-03-14 00:00:00","2015-03-14 00:00:00"
